Category: All categories

Month,unemployment insurance: (Worldwide)
2004-01,52
2004-02,45
2004-03,53
2004-04,42
2004-05,35
2004-06,46
2004-07,45
2004-08,47
2004-09,41
2004-10,40
2004-11,30
2004-12,39
2005-01,44
2005-02,36
2005-03,36
2005-04,36
2005-05,35
2005-06,36
2005-07,38
2005-08,35
2005-09,33
2005-10,30
2005-11,36
2005-12,25
2006-01,37
2006-02,32
2006-03,29
2006-04,28
2006-05,31
2006-06,29
2006-07,34
2006-08,33
2006-09,27
2006-10,33
2006-11,29
2006-12,31
2007-01,36
2007-02,31
2007-03,29
2007-04,30
2007-05,27
2007-06,29
2007-07,30
2007-08,27
2007-09,25
2007-10,26
2007-11,27
2007-12,28
2008-01,36
2008-02,28
2008-03,28
2008-04,30
2008-05,26
2008-06,30
2008-07,38
2008-08,31
2008-09,34
2008-10,37
2008-11,42
2008-12,48
2009-01,56
2009-02,55
2009-03,57
2009-04,53
2009-05,43
2009-06,42
2009-07,47
2009-08,47
2009-09,41
2009-10,43
2009-11,41
2009-12,40
2010-01,40
2010-02,40
2010-03,38
2010-04,36
2010-05,26
2010-06,31
2010-07,35
2010-08,26
2010-09,24
2010-10,25
2010-11,28
2010-12,33
2011-01,31
2011-02,25
2011-03,22
2011-04,25
2011-05,22
2011-06,20
2011-07,20
2011-08,21
2011-09,20
2011-10,19
2011-11,18
2011-12,19
2012-01,24
2012-02,22
2012-03,17
2012-04,16
2012-05,16
2012-06,16
2012-07,19
2012-08,16
2012-09,14
2012-10,16
2012-11,17
2012-12,16
2013-01,20
2013-02,14
2013-03,14
2013-04,16
2013-05,13
2013-06,12
2013-07,14
2013-08,12
2013-09,13
2013-10,15
2013-11,12
2013-12,14
2014-01,22
2014-02,17
2014-03,16
2014-04,16
2014-05,13
2014-06,11
2014-07,12
2014-08,10
2014-09,10
2014-10,10
2014-11,10
2014-12,12
2015-01,13
2015-02,11
2015-03,11
2015-04,11
2015-05,9
2015-06,10
2015-07,10
2015-08,9
2015-09,9
2015-10,9
2015-11,10
2015-12,10
2016-01,12
2016-02,10
2016-03,10
2016-04,10
2016-05,9
2016-06,8
2016-07,9
2016-08,9
2016-09,7
2016-10,9
2016-11,9
2016-12,10
2017-01,12
2017-02,10
2017-03,10
2017-04,9
2017-05,8
2017-06,8
2017-07,9
2017-08,8
2017-09,8
2017-10,8
2017-11,9
2017-12,9
2018-01,11
2018-02,9
2018-03,8
2018-04,9
2018-05,8
2018-06,7
2018-07,8
2018-08,7
2018-09,7
2018-10,8
2018-11,8
2018-12,8
2019-01,10
2019-02,9
2019-03,8
2019-04,8
2019-05,7
2019-06,7
2019-07,8
2019-08,7
2019-09,8
2019-10,8
2019-11,8
2019-12,8
2020-01,10
2020-02,9
2020-03,74
2020-04,100
2020-05,59
2020-06,41
2020-07,39
2020-08,31
2020-09,23
2020-10,20
2020-11,16
2020-12,20
